wavelength in  nm,Redshift ,velocity,Lab wavelength,c,uncenter,width,error width,peak flux,error pf,star cont,scentre,error
5625.143,-0.004954757,-1485.43618,5653.15335,33.613,0.116,,,,,5689.934,33.77,0.126
5628.743,-0.004317944,-1294.519713,5653.15335,33.845,0.049,,,,,5689.934,33.77,0.126
5631.143,-0.003893402,-1167.242068,5653.15335,33.661,0.059,,,,,5689.934,33.77,0.126
5632.943,-0.003574996,-1071.783835,5653.15335,33.499,0.055,,,,,5689.934,33.77,0.126
5634.143,-0.003362725,-1008.145012,5653.15335,33.657,0.047,,,,,5689.934,33.77,0.126
5635.343,-0.003150454,-944.5061897,5653.15335,33.597,0.047,,,,,5689.934,33.77,0.126
5636.543,-0.002938183,-880.8673673,5653.15335,33.43,0.028,,,,,5689.934,33.77,0.126
5637.443,-0.00277898,-833.1382505,5653.15335,33.491,0.033,,,,,5689.934,33.77,0.126
5638.043,-0.002672845,-801.3188392,5653.15335,33.495,0.029,,,,,5689.934,33.77,0.126
5638.643,-0.002566709,-769.499428,5653.15335,33.493,0.051,,,,,5689.934,33.77,0.126
5639.243,-0.002460574,-737.6800168,5653.15335,33.565,0.04,,,,,5689.934,33.77,0.126
5639.843,-0.002354438,-705.8606056,5653.15335,33.602,0.083,,,,,5689.934,33.77,0.126
5640.443,-0.002248303,-674.0411944,5653.15335,33.502,0.043,,,,,5689.934,33.77,0.126
5641.043,-0.002142167,-642.2217831,5653.15335,33.535,0.05,,,,,5689.934,33.77,0.126
5641.443,-0.00207141,-621.0088423,5653.15335,33.487,0.049,,,,,5689.934,33.77,0.126
5642.243,-0.001929896,-578.5829607,5653.15335,33.496,0.033,,,,,5689.934,33.77,0.126
5642.843,-0.001823761,-546.7635495,5653.15335,33.477,0.055,,,,,5689.934,33.77,0.126
5643.443,-0.001717626,-514.9441383,5653.15335,33.499,0.032,,,,,5689.934,33.77,0.126
5644.043,-0.00161149,-483.124727,5653.15335,33.413,0.038,,,,,5689.934,33.77,0.126
5644.643,-0.001505355,-451.3053158,5653.15335,33.419,0.021,,,,,5689.934,33.77,0.126
5645.243,-0.001399219,-419.4859046,5653.15335,33.434,0.013,,,,,5689.934,33.77,0.126
5645.843,-0.001293084,-387.6664934,5653.15335,33.377,0.018,,,,,5689.934,33.77,0.126
5646.443,-0.001186948,-355.8470822,5653.15335,33.428,0.02,,,,,5689.934,33.77,0.126
5647.043,-0.001080813,-324.0276709,5653.15335,33.369,0.037,,,,,5689.934,33.77,0.126
5647.643,-0.000974677,-292.2082597,5653.15335,33.405,0.094,,,,,5689.934,33.77,0.126
5648.243,-0.000868542,-260.3888485,5653.15335,33.336,0.014,,,,,5689.934,33.77,0.126
5648.843,-0.000762406,-228.5694373,5653.15335,33.278,0.01,,,,,5689.934,33.77,0.126
5649.443,-0.000656271,-196.750026,5653.15335,33.33,0.018,,,,,5689.934,33.77,0.126
5650.043,-0.000550135,-164.9306148,5653.15335,33.457,0.081,,,,,5689.934,33.77,0.126
5650.643,-0.000444,-133.1112036,5653.15335,33.419,0.057,,,,,5689.934,33.77,0.126
5651.243,-0.000337865,-101.2917924,5653.15335,33.356,0.025,,,,,5689.934,33.77,0.126
5651.843,-0.000231729,-69.47238117,5653.15335,33.381,0.023,,,,,5689.934,33.77,0.126
5652.443,-0.000125594,-37.65296994,5653.15335,33.429,0.041,,,,,5689.934,33.77,0.126
5653.043,-1.95E-05,-5.833558724,5653.15335,33.318,0.01,,,,,5689.934,33.77,0.126
5653.643,8.67E-05,25.9858525,5653.15335,33.393,0.022,,,,,5689.934,33.77,0.126
5654.243,0.000192813,57.80526372,5653.15335,33.398,0.022,,,,,5689.934,33.77,0.126
5654.843,0.000298948,89.62467494,5653.15335,33.399,0.034,,,,,5689.934,33.77,0.126
5655.743,0.000458151,137.3537918,5653.15335,33.5,0.049,,,,,5689.934,33.77,0.126
5657.543,0.000776558,232.8120254,5653.15335,33.747,0.056,,,,,5689.934,33.77,0.126
5661.143,0.001413371,423.7284928,5653.15335,33.658,0.104,,,,,5689.934,33.77,0.126
